station_code,station_name,blk_no,building,latitude,longitude,postal,road_name,searchval,type
DT10,Stevens,92,STEVENS MRT STATION,1.32006555750627,103.826024401924,257877,STEVENS ROAD,STEVENS MRT STATION,mrt
DT11,Newton,49,NEWTON MRT STATION,1.31232009946014,103.837985299521,228234,SCOTTS ROAD,NEWTON MRT STATION,mrt
DT12,Little India,60,LITTLE INDIA MRT STATION,1.30680002560554,103.84964696645,229900,BUKIT TIMAH ROAD,LITTLE INDIA MRT STATION,mrt
DT13,Rochor,11,ROCHOR MRT STATION,1.30385218527657,103.852769428884,188505,ROCHOR CANAL ROAD,ROCHOR MRT STATION,mrt
DT14,Bugis,220,BUGIS MRT STATION,1.30046507606683,103.855706414086,188022,VICTORIA STREET,BUGIS MRT STATION,mrt
DT15,Promenade,2,PROMENADE MRT STATION,1.29399856913986,103.860350000195,039193,TEMASEK AVENUE,PROMENADE MRT STATION,mrt
DT16,Bayfront,11,BAYFRONT MRT STATION,1.2818737887921,103.859079764874,018957,BAYFRONT AVENUE,BAYFRONT MRT STATION,mrt
DT17,Downtown,15,DOWNTOWN MRT STATION,1.27944619017902,103.852840444471,018969,CENTRAL BOULEVARD,DOWNTOWN MRT STATION,mrt
DT18,Telok Ayer,7,TELOK AYER MRT STATION,1.28206894769397,103.848648781083,048416,CROSS STREET,TELOK AYER MRT STATION,mrt
DT19,Chinatown,91,CHINATOWN MRT STATION,1.28422391919087,103.845143798953,058362,UPPER CROSS STREET,CHINATOWN MRT STATION,mrt
DT20,Fort Canning,170,FORT CANNING MRT STATION,1.29248123652549,103.844331060302,179038,RIVER VALLEY ROAD,FORT CANNING MRT STATION,mrt
DT21,Bencoolen,31,BENCOOLEN MRT STATION,1.29891843369424,103.850353762717,189658,BENCOOLEN STREET,BENCOOLEN MRT STATION,mrt
DT22,Jalan Besar,90,JALAN BESAR MRT STATION,1.30517138780691,103.855295713435,208826,JALAN BESAR,JALAN BESAR MRT STATION,mrt
DT23,Bendemeer,11,BENDEMEER MRT STATION,1.31367252847692,103.862977620945,339356,KALLANG BAHRU,BENDEMEER MRT STATION,mrt
DT24,Geylang Bahru,541,GEYLANG BAHRU MRT STATION,1.32130110228324,103.871622627142,339355,KALLANG BAHRU,GEYLANG BAHRU MRT STATION,mrt
